Rank,Lemma,Count,RelativeFrequency
378,πέντε,232,0.000240
379,ἐλαύνω,232,0.000240
380,ἀποκρίνομαι,232,0.000240
381,πατρίς,231,0.000239
382,πρόσφημι,231,0.000239
383,φωνή,229,0.000237
384,ἅγιος,229,0.000237
385,Ἀπόλλων,227,0.000235
386,οἶος,226,0.000234
387,ἐντεῦθεν,226,0.000234
388,ἄνεμος,226,0.000234
389,αἷμα,226,0.000234
390,ἑπτά,226,0.000234
391,δίκη,223,0.000231
392,καρδία,223,0.000231
393,ὄχλος,223,0.000231
394,δέκα,222,0.000230
395,δῶρον,221,0.000228
396,οἰκία,220,0.000227
397,μακρός,220,0.000227
398,ἀθάνατος,220,0.000227
399,ὀπίσω,220,0.000227
400,πω,218,0.000225
401,Τηλέμαχος,218,0.000225
402,γινώσκω,218,0.000225
403,ἦμαρ,217,0.000224
404,Πελοπόννησος,217,0.000224
405,Ἀτρείδης,215,0.000222
406,ὁπλίτης,215,0.000222
407,λείπω,211,0.000218
408,ἡγέομαι,211,0.000218
409,καιρός,211,0.000218
410,οἶνος,211,0.000218
411,βίος,210,0.000217
412,μέρος,210,0.000217
413,τέ,210,0.000217
414,δυνατός,209,0.000216
415,χαλεπός,208,0.000215
416,οἶμαι,208,0.000215
417,Αἴας,208,0.000215
418,φωνέω,208,0.000215
419,ἀληθής,207,0.000214
420,ἐχθρός,207,0.000214
421,ἵημι,206,0.000213
422,χαίρω,206,0.000213
423,μένος,206,0.000213
424,τέλος,206,0.000213
425,εἴκοσι,206,0.000213
426,ἀήʼ,206,0.000213
427,θέλω,206,0.000213
428,θεά,205,0.000212
429,στρατεύω,205,0.000212
430,ἐπειδάν,204,0.000211
431,ἀποκτείνω,204,0.000211
432,κοινός,204,0.000211
433,Μενέλαος,204,0.000211
434,ναυτικός,204,0.000211
435,τεῦχος,204,0.000211
436,μέλας,203,0.000210
437,κτείνω,203,0.000210
438,λίθος,202,0.000209
439,πλοῖον,202,0.000209
440,ἄγε,201,0.000208
441,Σάμος,201,0.000208
442,τρίτος,200,0.000207
443,αὖτε,200,0.000207
444,οὕτω(ς),200,0.000207
445,ἀποστέλλω,199,0.000206
446,μικρός,198,0.000205
447,δοῦλος,198,0.000205
448,Ἀγαμέμνων,197,0.000204
449,στῆθος,197,0.000204
450,εἰρήνη,196,0.000203
451,δείδω,195,0.000202
452,βία,195,0.000202
453,μάλτα,195,0.000202
454,προσεῖπον,195,0.000202
455,βουλή,195,0.000202
456,πορεύω,194,0.000201
457,ἰδού,194,0.000201
458,Ἰουδαῖος,194,0.000201
459,πως,193,0.000200
460,ἄστυ,192,0.000198
461,ὅλος,192,0.000198
462,Κροῖσος,192,0.000198
463,φόβος,191,0.000197
464,ἐγείρω,191,0.000197
465,σῖτος,190,0.000196
466,οἰκέω,189,0.000195
467,ἐκεῖ,189,0.000195
468,χρύσεος,188,0.000194
469,ὄρνυμι,188,0.000194
470,ἀγορά,187,0.000193
471,ἡγεμών,187,0.000193
472,κίνδυνος,186,0.000192
473,νικάω,185,0.000191
474,παύω,185,0.000191
475,πόντος,185,0.000191
476,κρίνω,184,0.000190
477,τιμή,184,0.000190
478,ἑκάτερος,184,0.000190
479,Βοιωτός,184,0.000190
480,καθώς,183,0.000189
481,ἐλπίς,182,0.000188
482,ἐναντίος,182,0.000188
483,Ἄρης,182,0.000188
484,Μῆδος,182,0.000188
485,κύων,181,0.000187
486,ἀντί,181,0.000187
487,στρατία,181,0.000187
488,ἀμείνων,180,0.000186
489,χειμών,180,0.000186
490,χρυσός,179,0.000185
491,ὥρα,179,0.000185
492,προσαυδάω,179,0.000185
493,ἐγγύς,178,0.000184
494,ἀναβαίνω,178,0.000184
495,ἥσσων,177,0.000183
496,θνήσκω,177,0.000183
497,φρονέω,176,0.000182
498,πειράω,176,0.000182
499,αἰτία,175,0.000181
500,ὅμως,175,0.000181
501,ποῖος,174,0.000180
502,ὀξύς,174,0.000180
503,ἥλιος,173,0.000179
504,ἄλλως,172,0.000178
505,δῆλος,172,0.000178
506,ἀγών,172,0.000178
507,δόμος,172,0.000178
508,τριάκοντα,172,0.000178
509,πιστός,172,0.000178
510,Ξενοφῶν,172,0.000178
511,ἀντίος,172,0.000178
512,ἐλάσσων,171,0.000177
513,μισθός,171,0.000177
514,πύλη,171,0.000177
515,ὦμος,170,0.000176
516,ἤπειρος,170,0.000176
517,ἁμαρτία,169,0.000175
518,χῶρος,168,0.000174
519,παραλαμβάνω,167,0.000173
520,ἀσπίς,167,0.000173
521,ὑπάρχω,167,0.000173
522,δεξιός,167,0.000173
523,νοέω,167,0.000173
524,Θηβαῖος,166,0.000172
525,Δαναοί,166,0.000172
526,φυλακή,164,0.000170
527,φράζω,164,0.000170
528,ἀμύνω,164,0.000170
529,ζωή,163,0.000169
530,θύρα,163,0.000169
531,ἑός,163,0.000169
532,ἐσθίω,163,0.000169
533,καθίστημι,163,0.000169
534,θεῖος,162,0.000167
535,αἴρω,162,0.000167
536,πρόσθεν,162,0.000167
537,ἠώς,162,0.000167
538,ἐγ,161,0.000166
539,ἄρχων,161,0.000166
540,εἶδος,161,0.000166
541,Πρίαμος,160,0.000165
542,ἐκκλησία,160,0.000165
543,ὅπου,159,0.000164
544,εὐρύς,159,0.000164
545,βλέπω,158,0.000163
546,παρακαλέω,158,0.000163
547,Παῦλος,158,0.000163
548,Πέτρος,156,0.000161
549,ποός,155,0.000160
550,ἄδικος,155,0.000160
551,ἀρʼ,155,0.000160
552,ζητέω,155,0.000160
553,θοός,155,0.000160
554,κρατερός,155,0.000160
555,ἐσθλός,154,0.000159
556,ἄνευ,153,0.000158
557,τίκτω,153,0.000158
558,σάρξ,153,0.000158
559,ἀγορεύω,153,0.000158
560,φύλαξ,152,0.000157
561,ἀδύνατος,152,0.000157
562,ἄκρος,152,0.000157
563,τόξον,152,0.000157
564,χρώς,152,0.000157
565,Φίλιππος,152,0.000157
566,τελευτάω,151,0.000156
567,κρατέω,151,0.000156
568,πόνος,151,0.000156
569,ἐπίσταμαι,151,0.000156
570,τόσος,151,0.000156
571,ὁρμάω,150,0.000155
572,στόμα,150,0.000155
573,Πάτροκλος,150,0.000155
574,ὁπότε,149,0.000154
575,καρπός,149,0.000154
576,ἥρως,149,0.000154
577,πολιτεία,149,0.000154
578,γόνυ,149,0.000154
579,θρόνος,148,0.000153
580,ἄνω,147,0.000152
581,προφήτης,147,0.000152
582,πορεύομαι,147,0.000152
583,τέσσαρες,147,0.000152
584,διώκω,146,0.000151
585,ὄλλυμι,146,0.000151
586,διαφθείρω,145,0.000150
587,εὔχομαι,145,0.000150
588,συμμαχία,145,0.000150
589,ῥέω,145,0.000150
590,ναί,144,0.000149
591,αἰών,144,0.000149
592,Ἀθῆναι,144,0.000149
593,ἀμείβω,144,0.000149
594,πολίτης,143,0.000148
595,τελέω,143,0.000148
596,παρασκευάζω,143,0.000148
597,οἴομαι,142,0.000147
598,ὅσπερ,142,0.000147
599,συμφέρω,142,0.000147
600,τρέπω,142,0.000147
601,τότος,142,0.000147
602,κάθημαι,141,0.000146
603,ὕπνος,141,0.000146
604,οὐδαμός,140,0.000145
605,φανερός,140,0.000145
606,σωτηρία,140,0.000145
607,μοῖρα,140,0.000145
608,ἀγαπάω,140,0.000145
609,Σικελία,139,0.000144
610,παρίστημι,139,0.000144
611,θέρος,138,0.000143
612,τόπος,138,0.000143
613,Ἥρα,138,0.000143
614,ἀποθνήσκω,138,0.000143
615,οὖς,137,0.000142
616,τύχη,136,0.000141
617,ἀποδίδωμι,136,0.000141
618,κώμη,136,0.000141
619,πρέσβις,136,0.000141
620,λιμήν,135,0.000140
621,Ἰωάννης,135,0.000140
622,διαβαίνω,134,0.000139
623,φυλάσσω,133,0.000137
624,Δελφοί,133,0.000137
625,τύραννος,133,0.000137
626,ἑτοῖμος,132,0.000136
627,ἑκατόν,132,0.000136
628,άτος,132,0.000136
629,οἴχομαι,131,0.000135
630,τεύχω,131,0.000135
631,Σάρδεις,131,0.000135
632,δι’,131,0.000135
633,Ἀσία,131,0.000135
634,Καμβύσης,131,0.000135
635,Ἄργος,130,0.000134
636,Ἑλλήσποντος,130,0.000134
637,Ἴλιος,130,0.000134
638,πτερόεις,129,0.000133
639,ἠέλιος,129,0.000133
640,ὄπισθεν,128,0.000132
641,πολλάκις,128,0.000132
642,δώδεκα,128,0.000132
643,βασιλεύω,128,0.000132
644,σταθμός,128,0.000132
645,ὅμιλος,128,0.000132
646,βροτός,127,0.000131
647,τάλαντον,127,0.000131
648,ἀμήν,127,0.000131
649,ἡδονή,126,0.000130
650,ταὐτός,126,0.000130
651,Λακεδαίμων,126,0.000130
652,χράομαι,125,0.000129
653,κράτος,125,0.000129
654,ἐλεύθερος,125,0.000129
655,ἅλς,125,0.000129
656,δάκρυον,125,0.000129
657,διδάσκω,125,0.000129
658,Ἀττική,125,0.000129
659,ἀρχιερεύς,125,0.000129
660,σχεδόν,124,0.000128
661,μιμνήσκω,124,0.000128
662,ἐξουσία,124,0.000128
663,βοηθέω,124,0.000128
664,πεντήκοντα,124,0.000128
665,λίμνη,124,0.000128
666,Σπαρτιάτης,124,0.000128
667,ὄψις,123,0.000127
668,Μιλήσιος,123,0.000127
669,ἤτοι,122,0.000126
670,κόρη,122,0.000126
671,πίνω,122,0.000126
672,κλισία,122,0.000126
673,γίγνας,121,0.000125
674,ἀριθμός,121,0.000125
675,γενεά,121,0.000125
676,γλῶσσα,121,0.000125
677,ναυμαχία,121,0.000125
678,αἴτιος,120,0.000124
679,πονηρός,120,0.000124
680,ἥκιστος,120,0.000124
681,ἐμαυτοῦ,120,0.000124
682,σπονδή,120,0.000124
683,Μίλητος,120,0.000124
684,παλαιός,119,0.000123
685,δέος,119,0.000123
686,σκοπέω,119,0.000123
687,καταβαίνω,119,0.000123
688,δαμάζω,119,0.000123
689,πληρόω,119,0.000123
690,ἐρύω,119,0.000123
691,ἄνωγα,119,0.000123
692,ἀδικία,118,0.000122
693,Νέστωρ,118,0.000122
694,οἴος,117,0.000121
695,ὑμέτερος,117,0.000121
696,ὅρκος,117,0.000121
697,Μαρδόνιος,117,0.000121
698,ῥᾴδιος,116,0.000120
699,καίτοι,116,0.000120
700,τέχνη,116,0.000120
701,ἰσχυρός,116,0.000120
702,ἅπτω,116,0.000120
703,ἀμύμων,116,0.000120
704,ἧμαι,116,0.000120
705,τριήρης,116,0.000120
706,ἄλλῃ,114,0.000118
707,ἄρτος,114,0.000118
708,τάχος,114,0.000118
709,χέω,114,0.000118
710,ἱκάνω,114,0.000118
711,Λιβύη,114,0.000118
712,χίλιος,113,0.000117
713,ἀγάπη,113,0.000117
714,Λυδός,112,0.000116
715,ἔπειτʼ,112,0.000116
716,ὀργή,112,0.000116
717,Ἀλέξανδρος,112,0.000116
718,αἶψα,112,0.000116
719,προσέρχομαι,111,0.000115
720,κύκλος,111,0.000115
721,πέλω,111,0.000115
722,ὠκύς,111,0.000115
723,μέμαα,111,0.000115
724,ἐνθάδε,110,0.000114
725,πολεμέω,110,0.000114
726,κέρας,110,0.000114
727,ἄψ,110,0.000114
728,ἀπαμείβομαι,110,0.000114
729,ἄλοχος,110,0.000114
730,ἀποθνῄσκω,110,0.000114
731,πόσις,109,0.000113
732,ἀμός,109,0.000113
733,πάλαι,108,0.000112
734,πρόθυμος,108,0.000112
735,αἰσχρός,108,0.000112
736,ναός,108,0.000112
737,πυκνός,107,0.000111
738,ἀργύριον,107,0.000111
739,μεταξύ,107,0.000111
740,κῦμα,107,0.000111
741,Κρέων,107,0.000111
742,Ὄλυμπος,107,0.000111
743,φιλέω,106,0.000110
744,ἕξ,106,0.000110
745,νέκυς,106,0.000110
746,ὄλεθρος,106,0.000110
747,τοῖος,106,0.000110
748,σημεῖον,106,0.000110
749,τιμάω,105,0.000109
750,ἐπιτήδεια,105,0.000109
751,Φοῖνιξ,105,0.000109
752,ἐντός,105,0.000109
753,χωρίς,105,0.000109
754,ὑψηλός,105,0.000109
755,φώς,105,0.000109
756,τάσσω,105,0.000109
757,ἐκβάλλω,105,0.000109
758,ἀίς,104,0.000108
759,φοβέω,104,0.000108
760,ἀγρός,104,0.000108
761,βέλος,104,0.000108
762,πάρος,104,0.000108
763,ἅτε,103,0.000106
764,ἔσχατος,103,0.000106
765,οὐδ’,103,0.000106
766,Πύλος,103,0.000106
767,ἱρός,103,0.000106
768,λανθάνω,102,0.000105
769,δαίμων,102,0.000105
770,Ἀλκιβιάδης,102,0.000105
771,οἰκεῖος,101,0.000104
772,εἴπερ,101,0.000104
773,ἀξιόω,101,0.000104
774,ἐργάζομαι,101,0.000104
775,ἔπειμι,101,0.000104
776,αἰνός,101,0.000104
777,ὅθεν,100,0.000103
778,τάξις,100,0.000103
779,ἀναχωρέω,100,0.000103
780,μεθί,99,0.000102
781,πεῖθος,99,0.000102
782,ἐνιαυτός,99,0.000102
783,γεννάω,99,0.000102
784,βοή,99,0.000102
785,κέλομαι,99,0.000102
786,κίω,99,0.000102
787,σῴζω,99,0.000102
788,πότερος,98,0.000101
789,ἀκολουθέω,98,0.000101
790,αὐδάω,98,0.000101
791,χιτών,98,0.000101
792,ἅρμα,98,0.000101
793,ὀτρύνω,98,0.000101
794,νέμω,97,0.000100
795,παιδίον,97,0.000100
796,παρέρχομαι,97,0.000100
797,Κλέαρχος,97,0.000100
798,δεῖπνον,96,0.000099
799,παντάπη,96,0.000099
800,ἐλευθερία,96,0.000099
801,ἁμαρτάνω,96,0.000099
802,σοφός,96,0.000099
803,σοφία,96,0.000099
804,πρόβατον,96,0.000099
805,ἦτορ,96,0.000099
806,κλαίω,96,0.000099
807,κόλπος,96,0.000099
808,χρηστήριον,96,0.000099
809,Δημοσθένης,96,0.000099
810,δαίς,96,0.000099
811,Φαρισαῖος,96,0.000099
812,ποιμήν,95,0.000098
813,θύω,95,0.000098
814,στάδιον,95,0.000098
815,φοβέομαι,95,0.000098
816,περιπατέω,95,0.000098
817,δίφρος,94,0.000097
818,ἄρτι,94,0.000097
819,ἐί,94,0.000097
820,ἡσυχία,94,0.000097
821,ἐρωτάω,94,0.000097
822,σαφής,94,0.000097
823,ἕλκω,94,0.000097
824,πέτρα,94,0.000097
825,ἀσφαλής,94,0.000097
826,λευκός,94,0.000097
827,ὀκτώ,94,0.000097
828,λοχαγός,94,0.000097
829,κάρτα,94,0.000097
830,κλυτός,94,0.000097
831,πρόσωπον,94,0.000097
832,αὐτόθι,93,0.000096
833,ἴσως,93,0.000096
834,ἐπέρχομαι,93,0.000096
835,κατέχω,93,0.000096
836,ἄλγος,93,0.000096
837,ἐπιτίθημι,93,0.000096
838,ἐνώπιον,93,0.000096
839,δηλόω,92,0.000095
840,πάθος,92,0.000095
841,φόνος,92,0.000095
842,δύω,92,0.000095
843,ὑστεραῖος,92,0.000095
844,Σεύθης,92,0.000095
845,ὅθι,92,0.000095
846,φιλία,91,0.000094
847,συμβάλλω,91,0.000094
848,πολιορκέω,91,0.000094
849,ἔνθεν,91,0.000094
850,ἀχεύω,91,0.000094
851,τριακόσιοι,91,0.000094
852,κῆρ,91,0.000094
853,σημαίνω,90,0.000093
854,ὅπη,90,0.000093
855,ἐπίκουρος,90,0.000093
856,σφέτερον,90,0.000093
857,ὁμοῖος,89,0.000092
858,πη,89,0.000092
859,τρέφω,89,0.000092
860,Τροία,89,0.000092
861,θέω,89,0.000092
862,Ἰωνία,89,0.000092
863,θεράπων,89,0.000092
864,γλαυκῶπις,89,0.000092
865,ἔνδον,88,0.000091
866,ἐπιθυμία,88,0.000091
867,ῥῆμα,88,0.000091
868,μέλω,88,0.000091
869,χθών,88,0.000091
870,μέγεθος,88,0.000091
871,Ἑλένη,88,0.000091
872,πύργος,88,0.000091
873,δράω,87,0.000090
874,γάμος,87,0.000090
875,ἑξήκοντα,87,0.000090
876,νήπιος,87,0.000090
877,οὔπω,86,0.000089
878,μείς,86,0.000089
879,πρόφασις,86,0.000089
880,λόφος,86,0.000089
881,Γλαύκων,85,0.000088
