Rank,Lemma,WeightedScore,RawCount
316,διανοέω,2.099259,136
317,μετοικέω,2.096732,12
318,χείρων,2.079006,192
319,τάξις,2.074143,185
320,βία,2.064809,256
321,διάνοια,2.059290,177
322,διαιτητός,2.049166,67
323,πάλαι,2.036060,204
324,τύπτω,2.029440,120
325,κρίσις,2.009590,214
326,πού,2.004674,559
327,νομοθέτης,2.001624,111
328,θεράπων,2.000187,105
329,τρέπω,1.991830,390
330,χαρίζομαι,1.973480,151
331,πρόνοια,1.966977,103
332,δίκαιον,1.963887,77
333,διαλέγω,1.957737,210
334,τόπος,1.951479,259
335,φυλή,1.944565,140
336,φύω,1.943796,308
337,προκαλέω,1.921413,126
338,τάλαντος,1.917155,65
339,ψηφίημι,1.909287,40
340,δανείδω,1.891013,66
341,παραλιμπάνω,1.886032,57
342,χείρ,1.858530,1100
343,τράπεζα,1.857877,155
344,συνοικέω,1.830605,114
345,φροντίζω,1.829742,129
346,δωρεά,1.824578,138
347,βραχύς,1.822020,181
348,ποίησις,1.818195,112
349,μίγνυμι,1.811545,193
350,καταψηψέομαι,1.806940,26
351,σύνειμι,1.775804,132
352,δυνατός,1.772817,302
353,δισχίλιοι,1.769014,75
354,ποτ,1.768872,97
355,συγγενής,1.760376,95
356,παλαιός,1.759525,233
357,Βοιωτός,1.753787,259
358,χιλίοι,1.742443,74
359,κακία,1.741882,107
360,βαδίζω,1.724208,79
361,παράνομος,1.722247,112
362,Πασίων,1.708134,83
363,τριάραρχος,1.688107,61
364,στρατιώτης,1.683052,372
365,μάχη,1.662869,585
366,χρήσιμος,1.654838,174
367,μέγεθος,1.647882,177
368,μά,1.644537,141
369,μέτριος,1.641714,173
370,διατρίβω,1.631857,152
371,διαβολή,1.628269,96
372,περιγίγνομαι,1.626849,157
373,φράσσω,1.625583,112
374,τόλμα,1.620019,82
375,χειροτονέω,1.618779,90
376,γνήσιος,1.617841,60
377,προερέω,1.617534,148
378,πένης,1.615326,63
379,πρόκλησις,1.613741,74
380,παρέρχομαι,1.605705,245
381,διοικέω,1.592968,104
382,ταμία,1.585197,59
383,βάλλω,1.576552,735
384,στρατεία,1.573516,165
385,μισθός,1.571004,257
386,διαρρήδης,1.566090,55
387,τέως,1.564242,66
388,κηδεστός,1.563928,60
389,καταδικάζω,1.563788,24
390,παρίστημι,1.562767,259
391,πείρω,1.552347,25
392,πιστότερος,1.550805,45
393,θαυμαστός,1.540083,83
394,συλλέγω,1.538533,169
395,Φόρμιος,1.530817,69
396,δοθέω,1.530443,95
397,Α,1.521951,38
398,μισθόω,1.520342,124
399,θεραπών,1.518639,4
400,Σικελία,1.515757,242
401,καταλέγω,1.508855,126
402,συγγραφή,1.496994,62
403,προαιρέω,1.484359,95
404,παραλύω,1.483020,38
405,πορίζω,1.482834,97
406,δημεύω,1.477086,17
407,διατελέω,1.474115,150
408,χρυσίον,1.465617,113
