Rank,Lemma,Count,RelativeFrequency
527,ἐγείρω,142,0.000198
528,συγγνώμη,141,0.000197
529,μά,141,0.000197
530,προστίθημι,141,0.000197
531,νῦν,141,0.000197
532,φυλή,140,0.000195
533,παιδίον,140,0.000195
534,κλαίω,140,0.000195
535,στρατία,140,0.000195
536,θέρος,139,0.000194
537,ἀγαπάω,139,0.000194
538,δουλεύω,138,0.000193
539,δωρεά,138,0.000193
540,ναός,138,0.000193
541,θυσία,137,0.000191
542,καταφρονέω,137,0.000191
543,κατοικέω,137,0.000191
544,διανοέω,136,0.000190
545,θηρίον,136,0.000190
546,τόσος,136,0.000190
547,σῶμα,136,0.000190
548,μεταξύ,135,0.000188
549,Ἰωάννης,135,0.000188
550,δημόσιος,134,0.000187
551,κατατίθημι,134,0.000187
552,δάκρυον,134,0.000187
553,λίμνη,134,0.000187
554,κέρας,134,0.000187
555,Σάρδεις,134,0.000187
556,προσφέρω,133,0.000186
557,τάχος,133,0.000186
558,θέω,133,0.000186
559,σύνειμι,132,0.000184
560,λευκός,132,0.000184
561,ἀποστέλλω,132,0.000184
562,προσάκω,131,0.000183
563,διότι,131,0.000183
564,κόρη,131,0.000183
565,Καμβύσης,131,0.000183
566,παράδειγμα,130,0.000181
567,προβάλλω,130,0.000181
568,φροντίζω,129,0.000180
569,μίμνω,129,0.000180
570,πρεσβεία,129,0.000180
571,συνέρχομαι,129,0.000180
572,γενεά,129,0.000180
573,σταθμός,129,0.000180
574,πτερόεις,129,0.000180
575,καθαρός,128,0.000179
576,βροτός,128,0.000179
577,στρατηγέω,127,0.000177
578,καταγιγνώσκω,127,0.000177
579,ἀμήν,127,0.000177
580,πρόσωπον,126,0.000176
581,πόσις,126,0.000176
582,σημαίνω,126,0.000176
583,προκαλέω,126,0.000176
584,φθάνω,126,0.000176
585,καταλέγω,126,0.000176
586,κηρύσσω,126,0.000176
587,πυκνός,125,0.000174
588,σοφός,125,0.000174
589,θαρσέω,124,0.000173
590,μισθόω,124,0.000173
591,συντίθημι,124,0.000173
592,προσδέχομαι,124,0.000173
593,Βυζάντιος,124,0.000173
